"","State","Year","ED.Visits.per.100000"
"238","North Carolina",2008,23.6
"239","North Carolina",2009,16.8
"240","North Carolina",2010,33.1
"241","North Carolina",2011,31.1
"242","North Carolina",2012,27.1
"243","North Carolina",2013,16.2
"244","North Carolina",2014,26.6
"245","North Carolina",2015,34.1
"246","North Carolina",2016,46.7
"247","North Carolina",2017,32.6
"248","North Carolina",2018,44
"249","North Carolina",2019,43.8
"250","North Carolina",2020,29.7
"251","North Carolina",2021,27.6
