"","CountyFIPS","County","urban_level"
"1",37001,"Alamance ",4
"2",37003,"Alexander ",3
"3",37005,"Alleghany ",6
"4",37007,"Anson ",6
"5",37009,"Ashe ",6
"6",37011,"Avery ",6
"7",37013,"Beaufort ",5
"8",37015,"Bertie ",6
"9",37017,"Bladen ",6
"10",37019,"Brunswick ",3
"11",37021,"Buncombe ",3
"12",37023,"Burke ",3
"13",37025,"Cabarrus ",2
"14",37027,"Caldwell ",3
"15",37029,"Camden ",5
"16",37031,"Carteret ",5
"17",37033,"Caswell ",6
"18",37035,"Catawba ",3
"19",37037,"Chatham ",3
"20",37039,"Cherokee ",6
"21",37041,"Chowan ",6
"22",37043,"Clay ",6
"23",37045,"Cleveland ",5
"24",37047,"Columbus ",6
"25",37049,"Craven ",4
"26",37051,"Cumberland ",3
"27",37053,"Currituck ",2
"28",37055,"Dare ",5
"29",37057,"Davidson ",3
"30",37059,"Davie ",3
"31",37061,"Duplin ",6
"32",37063,"Durham ",3
"33",37065,"Edgecombe ",4
"34",37067,"Forsyth ",3
"35",37069,"Franklin ",2
"36",37071,"Gaston ",2
"37",37073,"Gates ",2
"38",37075,"Graham ",6
"39",37077,"Granville ",5
"40",37079,"Greene ",6
"41",37081,"Guilford ",3
"42",37083,"Halifax ",5
"43",37085,"Harnett ",5
"44",37087,"Haywood ",3
"45",37089,"Henderson ",3
"46",37091,"Hertford ",6
"47",37093,"Hoke ",3
"48",37095,"Hyde ",6
"49",37097,"Iredell ",2
"50",37099,"Jackson ",5
"51",37101,"Johnston ",2
"52",37103,"Jones ",4
"53",37105,"Lee ",5
"54",37107,"Lenoir ",5
"55",37109,"Lincoln ",2
"56",37111,"McDowell ",5
"57",37113,"Macon ",6
"58",37115,"Madison ",3
"59",37117,"Martin ",6
"60",37119,"Mecklenburg ",1
"61",37121,"Mitchell ",6
"62",37123,"Montgomery ",6
"63",37125,"Moore ",5
"64",37127,"Nash ",4
"65",37129,"New Hanover ",3
"66",37131,"Northampton ",5
"67",37133,"Onslow ",4
"68",37135,"Orange ",3
"69",37137,"Pamlico ",4
"70",37139,"Pasquotank ",5
"71",37141,"Pender ",3
"72",37143,"Perquimans ",5
"73",37145,"Person ",3
"74",37147,"Pitt ",4
"75",37149,"Polk ",6
"76",37151,"Randolph ",3
"77",37153,"Richmond ",5
"78",37155,"Robeson ",5
"79",37157,"Rockingham ",3
"80",37159,"Rowan ",2
"81",37161,"Rutherford ",5
"82",37163,"Sampson ",6
"83",37165,"Scotland ",5
"84",37167,"Stanly ",5
"85",37169,"Stokes ",3
"86",37171,"Surry ",5
"87",37173,"Swain ",6
"88",37175,"Transylvania ",5
"89",37177,"Tyrrell ",5
"90",37179,"Union ",2
"91",37181,"Vance ",5
"92",37183,"Wake ",1
"93",37185,"Warren ",6
"94",37187,"Washington ",6
"95",37189,"Watauga ",5
"96",37191,"Wayne ",4
"97",37193,"Wilkes ",5
"98",37195,"Wilson ",5
"99",37197,"Yadkin ",3
"100",37199,"Yancey ",6
